@fechaActualizacion,@id,IDIOMA,EMAIL,TELEFONO,FAX,NOMBRE_TUI,DESCRIPCION_TUI,CONTENT_URL,LATITUD_TUI,LONGITUD_TUI,Categoria_1,Categoria_2,DIRECCION_TUI,CATEGORIA_TUI,Categoria_3,Categoria_4,PK,HORARIO,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,NOMBRE_VIA,CLASE_VIAL,NUM,LOCALIDAD,PROVINCIA,CODIGO_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,COORDENADA_X,COORDENADA_Y,ORIENTACION,Categoria_5,PLANTA,PUERTA,ESCALERAS,Categoria_6,Categoria_7
2025-06-12,105137.0,es,H3753@accor.com,(+34) 91 301 09 99,,Ibis Madrid Aeropuerto Barajas,"Situado a 2,2 km del aeropuerto, a 3 km de IFEMA Palacio Municipal y a 5 km del Estadio Civitas Metropolitano, se encuentra el nuevo hotel de la marca Ibis en Madrid.Este establecimiento de dos estrellas cuenta con 156 habitaciones diseñadas para asegurar un buen descanso, equipadas con camas cómodas, ventana doble, pantalla de televisión LCD, calefacción y aire acondicionado. En cuanto a sus servicios, el hotel ofrece aparcamiento restaurante, Wifi gratis y accesibilidad para silla de ruedas, entre otros. Además, para asegurar el máximo confort de sus clientes su fachada está diseñada de manera que aísla completamente al hotel del ruido exterior y del tráfico aéreo, aparte de presentar un coeficiente de transmisión térmica casi nulo.",https://www.esmadrid.com/alojamientos/ibis-madrid-aeropuerto-barajas-0,40.4699429,-3.5806809,Hostales,,"General, 49, 28042, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,104961.0,es,h3318@accor.com,+34 911 08 58 00,,Ibis Styles Madrid Centro Maravillas,"Ubicado sobre el Teatro Maravillas, uno de los espacios escénicos con más tradición y prestigio en la escena teatral de Madrid, con más de 100 años de historia, este hotel boutique te hará sentir como en un teatro de mediados del siglo pasado.En todas sus instalaciones, el mundo teatral está presente. La señalética, la recepción y los aseos evocan rincones tras bambalinas, taquillas, camerinos y el patio de butacas. Además, en los baños encontrarás tocadores de camerino, cabeceros con forma de biombo y armarios estilo burro, entre otros detalles.Sus 64 habitaciones, distribuidas en standard y premium, están inspiradas en los diferentes géneros del teatro. En cuanto a sus servicios, el hotel ofrece wifi gratuito, recepción 24 horas, consigna de equipajes y snack bar disponible todo el día. Además, dispone de habitaciones accesibles y admite mascotas.",https://www.esmadrid.com/alojamientos/ibis-styles-madrid-centro-maravillas,40.428541,-3.7029288,Hoteles,,"Manuela Malasaña ,6, 28004, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,104940.0,es,casadelasartes@melia.com,+34 913 30 05 00,,Casa de las Artes Meliá Collection,"Situado en pleno Barrio de las Letras, este hotel es una oda al Siglo de Oro español y un tributo moderno al arte en todas sus formas. El establecimiento ocupa cuatro edificios unidos en su interior, entre ellos uno de aires palaciegos de 1913 donde se encuentran las áreas nobles. Rodeado de historia y modernidad, se presenta como el refugio perfecto para creadores y entusiastas de la expresión artística en cada uno de sus espacios.Cuenta con 137 habitaciones equipadas con todas las comodidades, que además incluyen un detalle original: un grabado de Gustave Doré realizado para la edición del Quijote de 1869. Sus áreas comunes incluyen una biblioteca, ideal para los amantes de la literatura; una sala de cine que crea un vínculo íntimo con el séptimo arte, y una piscina termal inspirada en la serenidad de las antiguas termas romanas.En cuanto a su gastronomía, su restaurante Maché, bautizado así por la técnica del “papier mâché”, fusiona cocina internacional y madrileña con el mundo artístico. El resultado es una experiencia culinaria innovadora, con una puesta en escena actual y original, como sus cócteles de autor.",https://www.esmadrid.com/alojamientos/casa-artes-melia-collection,40.4119597,-3.6974657,Hoteles,,"de Atocha, 83, 28012, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,104734.0,es,reservas@execonventionplazamadrid.com,+34 911 86 49 89,,Exe Convention Plaza Madrid,"El Exe Convention Plaza Madrid 4* goza de una localización privilegiada. Está ubicado en pleno corazón del parque empresarial de Las Tablas, a 10 minutos en coche de IFEMA, el Aeropuerto Adolfo Suárez Madrid-Barajas y a la misma distancia del Estadio Santiago Bernabéu. Situado también a 800 metros de la estación de metro Las Tablas, cuenta con conexiones directas a los puntos neurálgicos de Madrid, desde Chamartín hasta la Gran Vía, pasando por la Plaza Colón.Sus 242 habitaciones y estudios, algunos de ellos con cocina, lo convierten en el aliado perfecto para visitar la capital tanto por negocios como por ocio. Con más de 1.000m2 repartidos en 9 salones completamente equipados constituye el espacio idóneo para cualquier tipo de evento social, convención o reunión, ya sean de pequeño formato o de gran envergadura.Entre la amplia variedad de servicios que ofrece, destacan la piscina, la cafetería o el lounge bar, convirtiéndolo en un lugar clave para disfrutar después de una jornada de trabajo.",https://www.esmadrid.com/alojamientos/exe-convention-plaza-madrid,40.5146275,-3.6733518,Hoteles,,"Fuencarral a Alcobendas, Km 8, Fuencarral-El Pardo, 28050, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,104422.0,es,reservas@miradordechamartin.com,+34 910 78 66 99,,Hotel Pinar Plaza,"Situado en la zona de Pinar de Chamartín, el hotel Pinar Plaza ofrece una tranquilidad única en la capital, además de una conexión óptima con los principales puntos de interés de la ciudad. Un alojamiento de cuatro estrellas diseñado para convertirse en un punto de referencia para los viajes a la zona norte de Madrid, especialmente para estancias de negocios en la capital.Cuenta con un diseño vanguardista y tecnología de última generación, aunando elegancia y sencillez. Dispone de 145 habitaciones totalmente equipadas para garantizar la máxima calidad en todas las estancias.En cuanto a su oferta gastronómica, cuenta con varios puntos de restauración: el lobby, ideal para reuniones informales y sesiones de trabajo; un bar en la azotea, perfecto para disfrutar mientras se refresca en la piscina con vistas a la ciudad; y el restaurante Macondo, que cuenta con una impresionante terraza y está dirigido por el chef Charly Roux. Este espacio fusiona las culturas sudamericana y mediterránea para crear una gastronomía única y llena de sabor, donde las brasas son las protagonistas principales de las comidas.Además, cuenta con 3 salas totalmente panelables que le permitirán disfrutar de un gran salón de 200 m2. Todas incluyen un moderno y sofisticado equipamiento audiovisual y acceso directo a la terraza con vistas de Madrid, así como un catering a medida durante las reuniones.  ",https://www.esmadrid.com/alojamientos/hotel-pinar-plaza,40.4824925,-3.6706515,Hoteles,,"Caleruega, 67, 28033, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-12,104063.0,es,reservas@sercotel.com,+34 911 86 49 89,,Sercotel Convention Plaza Madrid,"Situado en el barrio de Las Tablas, este hotel de cuatro estrellas es una opción perfecta tanto para viajes de trabajo o placer, ya que gracias su buena conectividad garantiza un movilidad agil a los puntos neurálgicos de Madrid.Sus 278 habitaciones y estudios, algunos de ellos con cocinas, son amplios y acogedores, todos decorados en tonos neutros y con detalles minimalistas, brindando un entorno perfecto para descansar.En cuanto a sus servicios, ofrece piscina, gimnasio, bar y terraza con cafetería. Asimismo, alberga 9 salones completamente equipados para eventos empresariales, ya sean reuniones de pequeño formato o de mayor envergadura.",https://www.esmadrid.com/alojamientos/sercotel-convention-plaza-madrid,40.5146275,-3.6733518,Hoteles,,"Fuencarral a Alcobendas, Km 8, 28050, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-28,103671.0,es,crosstown@bypillow.com,915 99 69 01,,Crosstown by Pillow,"En pleno barrio de Lavapiés y a escasos metros de los principales atractivos de la ciudad, abre las puertas este nuevo hotel boutique que cuenta con amplias habitaciones y un diseño rompedor inspirado en el ambiente bohemio y cosmopolita del barrio.Entre sus servicios, destaca la climatización en zonas comunes, conexión wifi gratuita en todo el hotel y personal de recepción plurilingüe, entre otros. En cuanto a su decoración, rinde homenaje a este barrio tan lleno de vida con un diseño muy urbano a cargo de CrisCelaStudio, pinturas de J.M Yes y fotografías de Roger Grasas.",https://www.esmadrid.com/alojamientos/crosstown-pillow,40.4114759,-3.704084,Hoteles,,"de Jesús y María, 12, 28012, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-09,103281.0,es,alonsomartinez@avani-hotels.com,+34 915940213,,Avani Alonso Martínez,"Situado a pocos pasos de la icónica plaza central que lleva su nombre, y ubicado en un edificio 1919, este hotel, tras su renovación, combina a la perfección su elegancia histórica con un diseño fresco y contemporáneo.Cada detalle del interior de Avani Alonso Martínez se inspira en la vibrante ciudad de Madrid. Al entrar, los visitantes son recibidos por una magnífica escultura de un gato amarillo, un animal emblemático para la ciudad. Las paredes del vestíbulo están realzadas con carteles que muestran expresiones típicas madrileñas y la escalera rinde homenaje a la vestimenta tradicional de la región con una serie de elaborados mantones de Manila pintados a mano en las paredes.Dispone de 111 habitaciones equipadas con la última tecnología y confort. Todas decoradas con diferentes motivos que hacen referencia a la ciudad de Madrid. Las colchas presentan un elegante diseño de pata de gallo, que recuerda al estampado icónico que lucen los chulapos, las cabeceras de las camas muestran unos originales diseños de gatos; mientras que los cuadros, de estilo vintage, representan festividades locales como San Isidro. Como último detalle, las pantallas de las lámparas tienen en su estampado mapas antiguos del centro de la ciudad, sumergiendo a los huéspedes en la historia y la cultura de Madrid.En cuanto a sus servicios, ofrece wifi gratis en todo el hotel, gimnasio equipado con máquinas cardiovasculares y pesas, así como altavoces Bluetooth para que suene la banda sonora personal del cliente. Para los viajes de negocio, tienen dos salas de reuniones ideales para talleres y sesiones de formación, equipados con la última tecnología audiovisual. ",https://www.esmadrid.com/alojamientos/avani-alonso-martinez,40.4286632,-3.6962607,Hoteles,,"de Santa Engracia, 5, 2810, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-26,103276.0,es,sohomadridopera@sohohoteles.com,(+34) 913 83 09 90,,Soho Boutique Ópera,"Ubicado en pleno centro de Madrid junto a Ópera, la Plaza Mayor, la Puerta del Sol, el Teatro Real, el Palacio Real y el Monasterio de las Descalzas Reales, entre otros puntos clave de la capital, hacen de este hotel el perfecto para escapadas en pareja, viajes de negocio o fines de semana en familia.Dispone de habitaciones dobles, habitaciones dobles superior y habitaciones dobles con camas supletorias, totalmente diseñadas para el descanso en una ciudad que nunca duerme en pleno centro de Madrid.Entre sus muchos servicios cuenta con guarda equipajes, carta de almohadas, parking concertado, wifi de alta velocidad gratuito, servicio de contratación de actividades y asistencia médica disponible.Además, es un hotel dogfriendly para que viajes con tu perro sin preocupaciones.",https://www.esmadrid.com/alojamientos/soho-boutique-opera,40.419249,-3.7072663,Hoteles,,"de las Veneras, 2, 28013, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-26,103274.0,es,sohomadridcongreso@sohohoteles.com,(+34) 917 37 01 11,,Soho Boutique Congreso,"Ubicado en pleno centro de Madrid, en el barrio de las Cortes, este magnífico hotel combina modernidad y siglo XIX. Sus 66 habitaciones, divididas en habitaciones dobles, habitaciones dobles con cama supletoria y junior suites, están totalmente equipadas para asegurar el confort y la comodidad durante la estancia de sus huéspedes. Entre los muchos servicios que disponen se encuentran, guarda equipaje, bar cafetería; wifi de alta velocidad gratuito; servicio de contratación de actividades y asistencia médica disponible, entre otros.",https://www.esmadrid.com/alojamientos/soho-boutique-congreso,40.4169967,-3.6974696,Hoteles,,"de Zorrilla, 7, 28014, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,102466.0,es,elretiro@cataloniahotels.com,+34 914 34 11 20,,Catalonia El Retiro,"El hotel Catalonia El Retiro es un hotel de cuatro estrellas, funcional y moderno con 62 habitaciones luminosas y todas las comodidades. Entre sus muchos servicios ofrece wifi gratuito en todas las instalaciones, bar, desayuno buffet y parking.Está situado en la avenida Ciudad de Barcelona con acceso a dos de las autovías más importantes de Madrid (A-3 y M-30). Además, está muy próximo a la estación de Atocha y cerca de la estación de autobuses Méndez Alvaro.",https://www.esmadrid.com/alojamientos/catalonia-retiro,40.3991047,-3.6699694,Hoteles,,"de la Ciudad de Barcelona, 113, 28007, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-23,102465.0,es,helloprado@latroupe.com,+34 688 65 43 41,,La Troupe Prado,"La Troupe Prado está ubicado en el emblemático edificio esquinero entre Atocha y el Museo Reina Sofía. El inmueble con planta en forma de V, protegido y con gran carga histórica, divide su estructura en 8 plantas organizadas en torno a un atrio. Su interior ofrece un concepto que reúne la experiencia de un hostel, pero con la calidad de un hotel de alta gama y la comodidad de una casa, con habitaciones que se extienden en 6 plantas y que se amoldan a las necesidades individuales o de cada “tropa”. Su restaurante, Café de la Plata, destaca no sólo por su especial propuesta gastronómica, que representa alguna de las ciudades más emblemáticas de Sudamérica en sus platos, sino por su espacio, con dos amplios salones para comer o cenar y su enorme terraza en la que tomar una copa, que recorre el exterior del edificio.Justo abajo, un espacio de coworking donde disfrutar de un buen desayuno a primera hora, o trabajar y reunirte durante el día. Al caer el sol, comienza la acción en esta zona casi clandestina, El Plata. Un espacio que se convierte en chill out, donde absorber la energía madrileña tomando una copa que maride con alguna de las mezclas que propone el DJ, aunque también da pie (y espacio) a celebrar fiestas, eventos, tardeos e incluso conciertos, ya que cuenta con escenario propio y equipo de música digno de las mejores discotecas, pero no os preocupéis, la insonorización se ha realizado a conciencia y las habitaciones seguirán siendo un lugar tranquilo. ",https://www.esmadrid.com/alojamientos/troupe-prado,40.4069994,-3.6929088,Albergues,,"de Méndez Álvaro, 2, 28045, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12,102125.0,es,info@hotelmonteramadrid.com,+34 915 21 29 35,,"Hotel Montera Madrid, Curio Collection by Hilton","Este hotel de cinco estrellas, perteneciente a la cadena Hilton, está situado en un edificio histórico con fachada a la Gran Vía y a la peatonal calle de La Montera que conecta la Gran Vía con la Puerta del Sol.Con un concepto único de interiorismo desarrollado por Lázaro Rosa Violán, cuenta con 93 habitaciones, 8 de ellas amplias y luminosas suites con unas vistas inmejorables a la Gran Vía y la calle Montera. Esta última, está presente en todas las habitaciones coronando el galán de noche diseñado exclusivamente para el hotel. Además, en sus instalaciones se exhiben varias obras de arte entre las que destaca la intervención del artista madrileño Miguel Caravaca, quien ha plantado un lienzo de 25 metros de altura en el cristal panorámico del ascensor para acompañar a los huéspedes durante su tránsito entre las plantas 0 y la 10ª.El lobby ubicado en la planta 9ª, se rodea de 3 terrazas exteriores: Terraza Burladero, Sol y Sombra, que tendrán servicio de carta y coctelería. También en la planta 9ª, cuenta con dos salones privados, Porta Gayola y Temple.En cuanto a su gastronomía, en su restaurante La Braserí se puede disfrutar de una carta desenfadada de comidas del mundo con acento madrileño y una estupenda oferta de cócteles acompañado de unas magníficas vistas de la Gran Vía como telón de fondo.Por último, en la azotea, los huéspedes tendrán acceso a la piscina/solarium, camas balinesas y la oferta de tapas y coctelería de El Cielo de Chicote, la primera coctelería de España que ahora, además de su mítico Museo Chicote a pie de la Gran Vía, ha decidido elevarse para ofrecer las mejores vistas de Madrid.",https://www.esmadrid.com/alojamientos/hotel-montera-madrid-curio-collection-hilton,40.419738,-3.7018893,Hoteles,,"Montera, 47, 28013, Madrid, Spain",Alojamientos,,,,,,,,,,,,,,,,,,,,,,,,,,
